1,"राम, गृह (घर)","भू, हस्",विभक्ति,"प्रथमा, द्वितीया",,भू धातु
2,किम् (क्या),"पठ्, रक्ष्",विभक्ति,द्वितीया,,वस् धातु
3,"रमा, मति, नदी","गम्, वद्",विभक्ति,तृतीया,,गम् धातु
4,"हरि, भूपति",दृश्,विभक्ति,तृतीया,,चर् धातु
5,गुरु,"सद्, पा (पीना)",विभक्ति,चतुर्थी,,सद् धातु
6,सर्व,"सेव्, वृत्",विभक्ति,चतुर्थी,,वृत् धातु
7,एतत् (यह),"वृध्, ईक्ष्",विभक्ति,पंचमी,,ईक्ष् धातु
8,तत् (वह),"मन्त्र्, रम्",विभक्ति,पंचमी,,मन्त्र और रम् धातु
9,इदम् (यह),"लभ्, स्था",विभक्ति,षष्ठी,,स्था धातु
10,अदस् (वह),"मुद्, सह्",विभक्ति,षष्ठी,,-
11,"युष्मद् (तू), अस्मद् (मैं)","पच्, नम्",विभक्ति,सप्तमी,,"पत्, पच् और नम् धातु"
12,यत् (जो),"स्मृ, जि",विभक्ति,सप्तमी,,"तृ, स्मृ और जि धातु"
13,एक,घ्रा,संधि / संख्या,स्वर संधि / एकवचन,,देववर्ग
14,द्वि,"कृष्, वस्",संधि / संख्या,स्वर संधि / द्विवचन,,विद्यालयवर्ग
15,त्रि,त्यज्,संधि / संख्या,व्यंजन संधि / बहुवचन,,लेखनसामग्री
16,चतुर्,याच्,संधि,व्यंजन संधि,,दिक्कालवर्ग
17,संख्या 5-10,वह्,संधि / संख्या,विसर्ग संधि / बहुवचन,,व्योमवर्ग
18,संख्येय,नी,संधि / संख्या,विसर्ग संधि / बहुवचन,,संबन्धिवर्ग
19,सखि,हृ,समास,अव्ययीभाव,,क्रीडासनवर्ग
20,पति,श्रु,समास,तत्पुरुष,,ब्राह्मणवर्ग
21,"सुधी, स्वभू",कृ (पर),समास,"कर्मधारय, द्विगु",,क्षत्रियवर्ग
22,कर्तृ,कृ (आ),समास,बहुव्रीहि,,आयुधवर्ग
23,"पितृ, नृ","अद्, शास्",समास,बहुव्रीहि,,सैन्यवर्ग
24,गो,अस्,समास,द्वन्द्व,,वैश्यवर्ग
25,"प्राञ्च्, उदञ्च्",ब्रू,समास,"एकशेष, अलुक्, नञ्",,व्यापारवर्ग
26,"पयोमुच्, वणिज्","या, पा",समास,समासान्त प्रत्यय,,अन्नवर्ग
27,भूभृत्,"दुह्, लिह्",प्रत्यय,स्त्रीप्रत्यय,,भक्ष्यवर्ग
28,"भगवत्, धीमत्","रुद्, स्वप्",वाच्य,कर्तृवाच्य,,मिष्टान्नवर्ग
29,"महत्, भवत्","हन्, स्तु",पद,आत्मनेपद,,पानादिवर्ग
30,"पठत्, यावत्","इ, विद्",पद,परस्मैपद / आत्मनेपद,,पात्रवर्ग
31,बुध्,आस्,वाच्य,कर्म / भाववाच्य,,शूद्रवर्ग
32,"आत्मन्, राजन्","शी, अधि + इ",वाच्य,कर्म / भाववाच्य,,शिल्पिवर्ग
