2,पठ्,पढ़ना,भ्वादिगण,परस्मैपदी,पठ् के लुङ् में अपठीत् आदि भी रूप होते हैं । हस् (लुङ्) के तुल्य रूप चलेंगे ।,पठति,पठतः,पठन्ति,पठसि,पठथः,पठथ,पठामि,पठावः,पठामः,पठतु,पठताम्,पठन्तु,पठ,पठतम्,पठत,पठानि,पठाव,पठाम,अपठत्,अपठताम्,अपठन्,अपठः,अपठतम्,अपठत,अपठम्,अपठाव,अपठाम,पठेत्,पठेताम्,पठेयुः,पठेः,पठेतम्,पठेत,पठेयम्,पठेव,पठेम,पठिता,पठितारौ,पठितारः,पठितासि,पठितास्थः,पठितास्थ,पठितास्मि,पठितास्वः,पठितास्मः,पठिष्यति,पठिष्यतः,पठिष्यन्ति,पठिष्यसि,पठिष्यथः,पठिष्यथ,पठिष्यामि,पठिष्यावः,पठिष्यामः,अपठिष्यत्,अपठिष्यताम्,अपठिष्यन्,अपठिष्यः,अपठिष्यतम्,अपठिष्यत,अपठिष्यम्,अपठिष्याव,अपठिष्याम,पठ्यात्,पठ्यास्ताम्,पठ्यासुः,पठ्याः,पठ्यास्तम्,पठ्यास्त,पठ्यासम्,पठ्यास्व,पठ्यास्म,पपाठ,पेठतुः,पेठुः,पेठिथ,पेठथुः,पेठ,पपाठ/पपठ,पेठिव,पेठिम,अपाठीत्,अपाठिष्टाम्,अपाठिषुः,अपाठीः,अपाठिष्टम्,अपाठिष्ट,अपाठिषम्,अपाठिष्व,अपाठिष्म
2,रक्ष्,रक्षा करना,भ्वादिगण,परस्मैपदी,,रक्षति,रक्षतः,रक्षन्ति,रक्षसि,रक्षथः,रक्षथ,रक्षामि,रक्षावः,रक्षामः,रक्षतु,रक्षताम्,रक्षन्तु,रक्ष,रक्षतम्,रक्षत,रक्षाणि,रक्षाव,रक्षाम,अरक्षत्,अरक्षताम्,अरक्षन्,अरक्षः,अरक्षतम्,अरक्षत,अरक्षम्,अरक्षाव,अरक्षाम,रक्षेत्,रक्षेताम्,रक्षेयुः,रक्षेः,रक्षेतम्,रक्षेत,रक्षेयम्,रक्षेव,रक्षेम,रक्षिता,रक्षितारौ,रक्षितारः,रक्षितासि,रक्षितास्थः,रक्षितास्थ,रक्षितास्मि,रक्षितास्वः,रक्षितास्मः,रक्षिष्यति,रक्षिष्यतः,रक्षिष्यन्ति,रक्षिष्यसि,रक्षिष्यथः,रक्षिष्यथ,रक्षिष्यामि,रक्षिष्यावः,रक्षिष्यामः,अरक्षिष्यत्,अरक्षिष्यताम्,अरक्षिष्यन्,अरक्षिष्यः,अरक्षिष्यतम्,अरक्षिष्यत,अरक्षिष्यम्,अरक्षिष्याव,अरक्षिष्याम,रक्ष्यात्,रक्ष्यास्ताम्,रक्ष्यासुः,रक्ष्याः,रक्ष्यास्तम्,रक्ष्यास्त,रक्ष्यासम्,रक्ष्यास्व,रक्ष्यास्म,ररक्ष,ररक्षतुः,ररक्षुः,ररक्षिथ,ररक्षथुः,ररक्ष,ररक्ष,ररक्षिव,ररक्षिम,अरक्षीत्,अरक्षिष्टाम्,अरक्षिषुः,अरक्षीः,अरक्षिष्टम्,अरक्षिष्ट,अरक्षिषम्,अरक्षिष्व,अरक्षिष्म
3,गम्,जाना,भ्वादिगण,परस्मैपदी,,गच्छति,गच्छतः,गच्छन्ति,गच्छसि,गच्छथः,गच्छथ,गच्छामि,गच्छावः,गच्छामः,गच्छतु,गच्छताम्,गच्छन्तु,गच्छ,गच्छतम्,गच्छत,गच्छानि,गच्छाव,गच्छाम,अगच्छत्,अगच्छताम्,अगच्छन्,अगच्छः,अगच्छतम्,अगच्छत,अगच्छम्,अगच्छाव,अगच्छाम,गच्छेत्,गच्छेताम्,गच्छेयुः,गच्छेः,गच्छेतम्,गच्छेत,गच्छेयम्,गच्छेव,गच्छेम,गन्ता,गन्तारौ,गन्तारः,गन्तासि,गन्तास्थः,गन्तास्थ,गन्तास्मि,गन्तास्वः,गन्तास्मः,गमिष्यति,गमिष्यतः,गमिष्यन्ति,गमिष्यसि,गमिष्यथः,गमिष्यथ,गमिष्यामि,गमिष्यावः,गमिष्यामः,अगमिष्यत्,अगमिष्यताम्,अगमिष्यन्,अगमिष्यः,अगमिष्यतम्,अगमिष्यत,अगमिष्यम्,अगमिष्याव,अगमिष्याम,गम्यात्,गम्यास्ताम्,गम्यासुः,गम्याः,गम्यास्तम्,गम्यास्त,गम्यासम्,गम्यास्व,गम्यास्म,जगाम,जग्मतुः,जग्मुः,जग्मिथ/जगन्थ,जग्मथुः,जग्म,जगाम/जगम,जग्मिव,जग्मिम,अगमत्,अगमताम्,अगमन्,अगमः,अगमतम्,अगमत,अगमम्,अगमाव,अगमाम
4,दृश्,देखना,भ्वादिगण,परस्मैपदी,,पश्यति,पश्यतः,पश्यन्ति,पश्यसि,पश्यथः,पश्यथ,पश्यामि,पश्यावः,पश्यामः,पश्यतु,पश्यताम्,पश्यन्तु,पश्य,पश्यतम्,पश्यत,पश्यानि,पश्याव,पश्याम,अपश्यत्,अपश्यताम्,अपश्यन्,अपश्यः,अपश्यतम्,अपश्यत,अपश्यम्,अपश्याव,अपश्याम,पश्येत्,पश्येताम्,पश्येयुः,पश्येः,पश्येतम्,पश्येत,पश्येयम्,पश्येव,पश्येम,द्रष्टा,द्रष्टारौ,द्रष्टारः,द्रष्टासि,द्रष्टास्थः,द्रष्टास्थ,द्रष्टास्मि,द्रष्टास्वः,द्रष्टास्मः,द्रक्ष्यति,द्रक्ष्यतः,द्रक्ष्यन्ति,द्रक्ष्यसि,द्रक्ष्यथः,द्रक्ष्यथ,द्रक्ष्यामि,द्रक्ष्यावः,द्रक्ष्यामः,अद्रक्ष्यत्,अद्रक्ष्यताम्,अद्रक्ष्यन्,अद्रक्ष्यः,अद्रक्ष्यतम्,अद्रक्ष्यत,अद्रक्ष्यम्,अद्रक्ष्याव,अद्रक्ष्याम,दृश्यात्,दृश्यास्ताम्,दृश्यासुः,दृश्याः,दृश्यास्तम्,दृश्यास्त,दृश्यासम्,दृश्यास्व,दृश्यास्म,ददर्श,ददृशतुः,ददृशुः,ददर्शिथ/दद्रष्ठ,ददृशथुः,ददृश,ददर्श,ददृशिव,ददृशिम,अदर्शत्/अद्राक्षीत्,अदर्शताम्/अद्राष्टाम्,अदर्शन्/अद्राक्षुः,अदर्शः/अद्राक्षीः,अदर्शतम्/अद्राष्टम्,अदर्शत/अद्राष्ट,अदर्शम्/अद्राक्षम्,अदर्शाव/अद्राक्ष्व,अदर्शाम/अद्राक्ष्म
5,सद्,बैठना,भ्वादिगण,परस्मैपदी,,सीदति,सीदतः,सीदन्ति,सीदसि,सीदथः,सीदथ,सीदामि,सीदावः,सीदामः,सीदतु,सीदताम्,सीदन्तु,सीद,सीदतम्,सीदत,सीदानि,सीदाव,सीदाम,असीदत्,असीदताम्,असीदन्,असीदः,असीदतम्,असीदत,असीदम्,असीदाव,असीदाम,सीदेत्,सीदेताम्,सीदेयुः,सीदेः,सीदेतम्,सीदेत,सीदेयम्,सीदेव,सीदेम,सत्ता,सत्तारौ,सत्तारः,सत्तासि,सत्तास्थः,सत्तास्थ,सत्तास्मि,सत्तास्वः,सत्तास्मः,सत्स्यति,सत्स्यतः,सत्स्यन्ति,सत्स्यसि,सत्स्यथः,सत्स्यथ,सत्स्यामि,सत्स्यावः,सत्स्यामः,असत्स्यत्,असत्स्यताम्,असत्स्यन्,असत्स्यः,असत्स्यतम्,असत्स्यत,असत्स्यम्,असत्स्याव,असत्स्याम,सद्यात्,सद्यास्ताम्,सद्यासुः,सद्याः,सद्यास्तम्,सद्यास्त,सद्यासम्,सद्यास्व,सद्यास्म,ससाद,सेदतुः,सेदुः,सेदिथ/ससत्थ,सेदथुः,सेद,ससाद/ससद,सेदिव,सेदिम,असदत्,असदताम्,असदन्,असदः,असदतम्,असदत,असदम्,असदाव,असदाम
5,पा (पीना),पीना,भ्वादिगण,परस्मैपदी,,पिबति,पिबतः,पिबन्ति,पिबसि,पिबथः,पिबथ,पिबामि,पिबावः,पिबामः,पिबतु,पिबताम्,पिबन्तु,पिब,पिबतम्,पिबत,पिबानि,पिबाव,पिबाम,अपिबत्,अपिबताम्,अपिबन्,अपिबः,अपिबतम्,अपिबत,अपिबम्,अपिबाव,अपिबाम,पिबेत्,पिबेताम्,पिबेयुः,पिबेः,पिबेतम्,पिबेत,पिबेयम्,पिबेव,पिबेम,पाता,पातारौ,पातारः,पातासि,पातास्थः,पातास्थ,पातास्मि,पातास्वः,पातास्मः,पास्यति,पास्यतः,पास्यन्ति,पास्यसि,पास्यथः,पास्यथ,पास्यामि,पास्यावः,पास्यामः,अपास्यत्,अपास्यताम्,अपास्यन्,अपास्यः,अपास्यतम्,अपास्यत,अपास्यम्,अपास्याव,अपास्याम,पेयात्,पेयास्ताम्,पेयासुः,पेयाः,पेयास्तम्,पेयास्त,पेयासम्,पेयास्व,पेयास्म,पपौ,पपतुः,पपुः,पपिथ/पपाथ,पपथुः,पप,पपौ,पपिव,पपिम,अपात्,अपाताम्,अपुः,अपाः,अपातम्,अपात,अपाम्,अपाव,अपाम
6,सेव्,सेवा करना,भ्वादिगण,आत्मनेपदि,लङ् लुङ् और लृङ् में धातु से पहले अ लगता है । यदि धातु का प्रथम अक्षर स्वर होगा तो धातु से पहले आ लगेगा और सन्धि कार्य भी होगा ।,सेवते,सेवेते,सेवन्ते,सेवसे,सेवेथे,सेवध्वे,सेवे,सेवावहे,सेवामहे,सेवताम्,सेवेताम्,सेवन्ताम्,सेवस्व,सेवेथाम्,सेवध्वम्,सेवै,सेवावहै,सेवामहै,असेवत,असेवेताम्,असेवन्त,असेवथाः,असेवेथाम्,असेवध्वम्,असेवे,असेवावहि,असेवामहि,सेवेत,सेवेयाताम्,सेवेरन्,सेवेथाः,सेवेयाथाम्,सेवेध्वम्,सेवेय,सेवेवहि,सेवेमहि,सेविता,सेवितारौ,सेवितारः,सेवितासे,सेवितासाथे,सेविताध्वे,सेविताहे,सेवितास्वहे,सेवितास्महे,सेविष्यते,सेविष्येते,सेविष्यन्ते,सेविष्यसे,सेविष्येथे,सेविष्यध्वे,सेविष्ये,सेविष्यावहे,सेविष्यामहे,असेविष्यत,असेविष्येताम्,असेविष्यन्त,असेविष्यथाः,असेविष्येथाम्,असेविष्यध्वम्,असेविष्ये,असेविष्यावहि,असेविष्यामहि,सेविषीष्ट,सेविषीयास्ताम्,सेविषीरन्,सेविषीष्ठाः,सेविषीयास्थाम्,सेविषीध्वम्,सेविषीय,सेविषीवहि,सेविषीमहि,सिषेवे,सिषेवाते,सिषेविरे,सिषेविषे,सिषेवाथे,सिषेविध्वे,सिषेवे,सिषेविवहे,सिषेविमहे,असेविष्ट,असेविषाताम्,असेविषत,असेविष्ठाः,असेविषाथाम्,असेविध्वम्,असेविषि,असेविष्वहि,असेविष्महि
7,ईक्ष,देखना,भ्वादिगण,आत्मनेपदि,लङ् लुङ् और लृङ् में धातु से पहले अ लगता है । यदि धातु का प्रथम अक्षर स्वर होगा तो धातु से पहले आ लगेगा और सन्धि कार्य भी होगा ।,ईक्षते,ईक्षेते,ईक्षन्ते,ईक्षसे,ईक्षेथे,ईक्षध्वे,ईक्षे,ईक्षावहे,ईक्षामहे,ईक्षताम्,ईक्षेताम्,ईक्षन्ताम्,ईक्षस्व,ईक्षेथाम्,ईक्षध्वम्,ईक्षै,ईक्षावहै,ईक्षामहै,ऐक्षत,ऐक्षेताम्,ऐक्षन्त,ऐक्षथाः,ऐक्षेथाम्,ऐक्षध्वम्,ऐक्षे,ऐक्षावहि,ऐक्षामहि,ईक्षेत,ईक्षेयाताम्,ईक्षेरन्,ईक्षेथाः,ईक्षेयाथाम्,ईक्षेध्वम्,ईक्षेय,ईक्षेवहि,ईक्षेमहि,ईक्षिता,ईक्षितारौ,ईक्षितारः,ईक्षितासे,ईक्षितासाथे,ईक्षिताध्वे,ईक्षिताहे,ईक्षितास्वहे,ईक्षितास्महे,ईक्षिष्यते,ईक्षिष्येते,ईक्षिष्यन्ते,ईक्षिष्यसे,ईक्षिष्येथे,ईक्षिष्यध्वे,ईक्षिष्ये,ईक्षिष्यावहे,ईक्षिष्यामहे,ऐक्षिष्यत,ऐक्षिष्येताम्,ऐक्षिष्यन्त,ऐक्षिष्यथाः,ऐक्षिष्येथाम्,ऐक्षिष्यध्वम्,ऐक्षिष्ये,ऐक्षिष्यावहि,ऐक्षिष्यामहि,ईक्षिषीष्ट,ईक्षिषीयास्ताम्,ईक्षिषीरन्,ईक्षिषीष्ठाः,ईक्षिषीयास्थाम्,ईक्षिषीध्वम्,ईक्षिषीय,ईक्षिषीवहि,ईक्षिषीमहि,ईक्षांचक्रे,ईक्षांचक्राते,ईक्षांचक्रिरे,ईक्षांचकृषे,ईक्षांचक्राथे,ईक्षांचकृढ्वे,ईक्षांचक्रे,ईक्षांचकृवहे,ईक्षांचकृमहे,ऐक्षिष्ट,ऐक्षिषाताम्,ऐक्षिषत,ऐक्षिष्ठाः,ऐक्षिषाथाम्,ऐक्षिध्वम्,ऐक्षिषि,ऐक्षिष्वहि,ऐक्षिष्महि
7,वृध्,बढ़ना,भ्वादिगण,आत्मनेपदि,,वर्धते,वर्धेते,वर्धन्ते,वर्धसे,वर्धेथे,वर्धध्वे,वर्धे,वर्धावहे,वर्धामहे,वर्धताम्,वर्धेताम्,वर्धन्ताम्,वर्धस्व,वर्धेथाम्,वर्धध्वम्,वर्धै,वर्धावहै,वर्धामहै,अवर्धत,अवर्धेताम्,अवर्धन्त,अवर्धथाः,अवर्धेथाम्,अवर्धध्वम्,अवर्धे,अवर्धावहि,अवर्धामहि,वर्धेत,वर्धेयाताम्,वर्धेरन्,वर्धेथाः,वर्धेयाथाम्,वर्धेध्वम्,वर्धेय,वर्धेवहि,वर्धेमहि,वर्धिता,वर्धितारौ,वर्धितारः,वर्धितासे,वर्धितासाथे,वर्धिताध्वे,वर्धिताहे,वर्धितास्वहे,वर्धितास्महे,वर्धिष्यते/वर्त्स्यति,वर्धिष्येते/वर्त्स्यतः,वर्धिष्यन्ते/वर्त्स्यन्ति,वर्धिष्यसे/वर्त्स्यसि,वर्धिष्येथे/वर्त्स्यथः,वर्धिष्यध्वे/वर्त्स्यथ,वर्धिष्ये/वर्त्स्यामि,वर्धिष्यावहे/वर्त्स्यावः,वर्धिष्यामहे/वर्त्स्यामः,अवर्धिष्यत/अवर्त्स्यत्,अवर्धिष्येताम्/अवर्त्स्येताम्,अवर्धिष्यन्त/अवर्त्स्यन्त,अवर्धिष्यथाः/अवर्त्स्यष्यथाः,अवर्धिष्येथाम्/अवर्त्स्यथाम्,अवर्धिष्यध्वम्/अवर्त्स्यध्वम्,अवर्धिष्ये/अवर्त्स्ये,अवर्धिष्यावहि/अवर्त्स्यावहि,अवर्धिष्यामहि/अवर्त्स्यामहि,वर्धिषीष्ट,वर्धिषीयास्ताम्,वर्धिषीरन्,वर्धिषीष्ठाः,वर्धिषीयास्थाम्,वर्धिषीध्वम्,वर्धिषीय,वर्धिषीवहि,वर्धिषीमहि,ववृधे,ववृधाते,ववृधिरे,ववृधिषे,ववृधाथे,ववृधिध्वे,ववृधे,ववृधिवहे,ववृधिमहे,अवर्धिष्ट/अवृधत्,अवर्धिषाताम्/अवृधताम्,अवर्धिषत/अवृधन्,अवर्धिष्ठाः/अवृधः,अवर्धिषाथाम्/अवृधतम्,अवर्धिध्वम्/अवृधत,अवर्धिषि/अवृधम्,अवर्धिष्वहि/अवृधाव,अवर्धिष्महि/अवृधाम
9,स्था,रुकना,भ्वादिगण,परस्मैपदी,,तिष्ठति,तिष्ठतः,तिष्ठन्ति,तिष्ठसि,तिष्ठथः,तिष्ठथ,तिष्ठामि,तिष्ठावः,तिष्ठामः,तिष्ठतु,तिष्ठताम्,तिष्ठन्तु,तिष्ठ,तिष्ठतम्,तिष्ठत,तिष्ठानि,तिष्ठाव,तिष्ठाम,अतिष्ठत्,अतिष्ठताम्,अतिष्ठन्,अतिष्ठः,अतिष्ठतम्,अतिष्ठत,अतिष्ठम्,अतिष्ठाव,अतिष्ठाम,तिष्ठेत्,तिष्ठेताम्,तिष्ठेयुः,तिष्ठेः,तिष्ठेतम्,तिष्ठेत,तिष्ठेयम्,तिष्ठेव,तिष्ठेम,स्थाता,स्थातारौ,स्थातारः,स्थातासि,स्थातास्थः,स्थातास्थ,स्थातास्मि,स्थातास्वः,स्थातास्मः,स्थास्यति,स्थास्यतः,स्थास्यन्ति,स्थास्यसि,स्थास्यथः,स्थास्यथ,स्थास्यमि,स्थास्यवः,स्थास्यमः,अस्थास्यत्,अस्थास्यताम्,अस्थास्यन्,अस्थास्यः,अस्थास्यतम्,अस्थास्यत,अस्थास्यम्,अस्थास्याव,अस्थास्याम,स्थेयात्,स्थेयास्ताम्,स्थेयासुः,स्थेयाः,स्थेयास्तम्,स्थेयास्त,स्थेयासम्,स्थेयास्व,स्थेयास्म,तस्थौ,तस्थतुः,तस्थुः,तस्थिथ/तस्थाथ,तस्थथुः,तस्थ,तस्थौ,तस्थिव,तस्थिम,अस्थात्,अस्थाताम्,अस्थुः,अस्थाः,अस्थातम्,अस्थात,अस्थाम्,अस्थाव,अस्थाम
